wb-id,user-id,user-name,clean_content,full_content,related_video,related_pics,retweet,forward,comment,like,created at,relative time
4469709619743983,6105881353,爽朗的微微笑527,14点30分，女儿37.6度，打了一针止痛针，睡了。初七做的骨穿，因为这场疫情，今天十五，结果都没出来。教授上午来查个房，下午就不来了，难道我们这几天都只能靠止痛针吗？我们需要治疗呀！  ,"14点30分，女儿37.6度，打了一针止痛针，睡了。初七做的骨穿，因为这场疫情，今天十五，结果都没出来。教授上午来查个房，下午就不来了，难道我们这几天都只能靠止痛针吗？我们需要治疗呀！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},24,13,251,1581594451.851082,02-08
4469694398746969,6105881353,爽朗的微微笑527,女儿哭着说，妈妈，对不起，你太累了，我也越来越不坚强了，我能不能不治了，我真的坚持不下去了。我和女儿一起痛苦，这是女儿第三次疼痛了，生不如死，看着女儿如此受折磨，我的心痛呀！有没有神医呀！人间最痛苦的是疾病，与死神抗争。要赢！加油！如意！  ,"女儿哭着说，妈妈，对不起，你太累了，我也越来越不坚强了，我能不能不治了，我真的坚持不下去了。我和女儿一起痛苦，这是女儿第三次疼痛了，生不如死，看着女儿如此受折磨，我的心痛呀！有没有神医呀！人间最痛苦的是疾病，与死神抗争。要赢！加油！如意！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},43,143,746,1581594459.411447,02-08
4469633346040157,6105881353,爽朗的微微笑527,如意宝贝，双腿疼痛，胸骨疼痛，一脕上没睡，今早六点忍不住痛哭，她说对不起妈妈，你太累了，她越来越不坚强，不想治了。我们一起哭，病痛为什么要找你呀！你才二十岁，就这样受着地狱般的折磨，活着好难。二十岁，已经在与死神抗争，要嬴呀！生命多宝贵，生活多美好。  ,"如意宝贝，双腿疼痛，胸骨疼痛，一脕上没睡，今早六点忍不住痛哭，她说对不起妈妈，你太累了，她越来越不坚强，不想治了。我们一起哭，病痛为什么要找你呀！你才二十岁，就这样受着地狱般的折磨，活着好难。二十岁，已经在与死神抗争，要嬴呀！生命多宝贵，生活多美好。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},52,56,481,1581594462.712582,02-08
4469472934688473,6105881353,爽朗的微微笑527,现在是23点18分，女儿胸骨开始疼了，真的是白血病又复发了吗？老天呀！为什么这么折磨一个漂亮的女孩，灾难离开我们吧！真的太累了，放过我们，放过我们。  ,"现在是23点18分，女儿胸骨开始疼了，真的是白血病又复发了吗？老天呀！为什么这么折磨一个漂亮的女孩，灾难离开我们吧！真的太累了，放过我们，放过我们。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},12,59,188,1581594467.658405,02-07
4469460130223099,6105881353,爽朗的微微笑527,一言不合就上头条，我坚信没有什么事情是上一次头条解决不了的，如果有，那就领券上两次啊！ ,"一言不合就上头条，我坚信没有什么事情是上一次头条解决不了的，如果有，那就领券上两次啊！<a data-url=""http://t.cn/A6PgPJyH"" href=""https://promote.biz.weibo.cn/members/coupon/get?couponId=100414C823297366"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">粉丝头条优惠券大礼包，据说长得好看的人都会领取哦！</span></a> ",{},{},{},1,1,84,1581594470.940523,02-07
4469445819078412,6105881353,爽朗的微微笑527,全国人民齐心协力大战疫情，我们一定会赢。但重病在身的我的女儿，白血病，急需移植，不能等，她也是鲜活的一条生命，可武汉协和移植仓已关，想上北京大学人民医院移植，又出不了省，他们也不接收来自重灾区的病人，怎么办？谁有市长办公室电话，救救我的女儿吧！  ,"全国人民齐心协力大战疫情，我们一定会赢。但重病在身的我的女儿，白血病，急需移植，不能等，她也是鲜活的一条生命，可武汉协和移植仓已关，想上北京大学人民医院移植，又出不了省，他们也不接收来自重灾区的病人，怎么办？谁有市长办公室电话，救救我的女儿吧！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},889,123,741,1581594475.213056,02-07
4469438155393584,6105881353,爽朗的微微笑527,又谁知道武汉协和医院院长的电话，急呀！求助，要救命呀！  ,"又谁知道武汉协和医院院长的电话，急呀！求助，要救命呀！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},9,17,163,1581594480.601946,02-07
4469427267583417,6105881353,爽朗的微微笑527,孩子低烧十来天了，最近又腿痛，和十一月份复发的状态一模一样，难道又复发了，看她一个人流泪，我心好痛，为什么疫情还在，协和的移植仓也关闭了，北人也不接收武汉来的病人，怎么办呀！白血病人太可怜了，为什么碰上这么大的灾害。救救我的女儿吧！  ,"孩子低烧十来天了，最近又腿痛，和十一月份复发的状态一模一样，难道又复发了，看她一个人流泪，我心好痛，为什么疫情还在，协和的移植仓也关闭了，北人也不接收武汉来的病人，怎么办呀！白血病人太可怜了，为什么碰上这么大的灾害。救救我的女儿吧！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},22,6,110,1581594485.845148,02-07
4468718933000532,6105881353,爽朗的微微笑527,2020年，武汉加油！如意加油！吴琼加油！全中国人民加油！鼠年战胜疫情，战胜疾情，健康平安！我们都会好的。  ,"2020年，武汉加油！如意加油！吴琼加油！全中国人民加油！鼠年战胜疫情，战胜疾情，健康平安！我们都会好的。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},0,13,160,1581594491.126401,02-05
4465846044685747,6105881353,爽朗的微微笑527,武汉协和医住了快三个月，久久不能出院，因为我女儿得了白血病，去年猪年，对我家来说就是一个恶梦，如今，武汉又感染病毒，这真是家难国难，全让我们赶上，本来血液病就需要长期戴口罩，可如今全国人民都在和我们抢口罩，难道这就是命吗？救爱心人给予帮助，也赞助我们这些想活下去的人吧！ ,"武汉协和医住了快三个月，久久不能出院，因为我女儿得了白血病，去年猪年，对我家来说就是一个恶梦，如今，武汉又感染病毒，这真是家难国难，全让我们赶上，本来血液病就需要长期戴口罩，可如今全国人民都在和我们抢口罩，难道这就是命吗？救爱心人给予帮助，也赞助我们这些想活下去的人吧！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a>",{},{},{},29,83,864,1581594497.831593,01-28
4465841095345394,6105881353,爽朗的微微笑527,"今年是个灾年，孩子得了白血病，已治疗八个多月，所在的武汉这个城市又遇上疫情，口罩奇缺，谁来帮帮我们，我们家难国难全遇上，这是什么命，好心人也给我们献点爱心，我们在武汉协和医院，电话15172229522,谢谢了。  ","今年是个灾年，孩子得了白血病，已治疗八个多月，所在的武汉这个城市又遇上疫情，口罩奇缺，谁来帮帮我们，我们家难国难全遇上，这是什么命，好心人也给我们献点爱心，我们在武汉协和医院，电话15172229522,谢谢了。  ",{},{},{},322,80,275,1581594503.08958,01-28
4443201853056853,6105881353,爽朗的微微笑527,生与死，生命来来去去，想想多无聊，莫名其妙的来到这世界上，然后又莫名其妙的得病离开这世界，如果不来，就没有这么多痛苦，生命无常，多希望上天选择一下，放过年轻的孩子，让她们多看看这个世界，多待些日子，活着多好，生命最美好的季节，花开得最艳的时候，让她经历风吹雨打，苦呀！ ,生与死，生命来来去去，想想多无聊，莫名其妙的来到这世界上，然后又莫名其妙的得病离开这世界，如果不来，就没有这么多痛苦，生命无常，多希望上天选择一下，放过年轻的孩子，让她们多看看这个世界，多待些日子，活着多好，生命最美好的季节，花开得最艳的时候，让她经历风吹雨打，苦呀！ ,{},{},{},6,10,57,1581594507.395699,2019-11-27
4443194810878716,6105881353,爽朗的微微笑527,教授说像我们孩子这种骨痛的白血病百分之四十三预后差，孩子听了一点信心也没有了，叹！只希望冷漠的医生多一点爱心、同情心、怜悯之心，别去伤害打击一颗倍受病痛折磨的心，阿弥陀佛。  ,教授说像我们孩子这种骨痛的白血病百分之四十三预后差，孩子听了一点信心也没有了，叹！只希望冷漠的医生多一点爱心、同情心、怜悯之心，别去伤害打击一颗倍受病痛折磨的心，阿弥陀佛。  ,{},{},{},7,231,2985,1581594513.666081,2019-11-27
4442578914951627,6105881353,爽朗的微微笑527,医院长长的走廊，从夏季走到冬季，日子一天－天过去，算算在医院来来回回有半年的时间，祈祷孩子快些康复，希望明天会更好。  ,医院长长的走廊，从夏季走到冬季，日子一天－天过去，算算在医院来来回回有半年的时间，祈祷孩子快些康复，希望明天会更好。  ,{},{},{},2,8,84,1581594518.966039,2019-11-25
4434839295941771,6105881353,爽朗的微微笑527,一场灾难，用福字化解  ,一场灾难，用福字化解  ,{},{},{},0,0,24,1581594524.351783,2019-11-04
4425526418197497,6105881353,爽朗的微微笑527,为什么要选我受折磨？悲伤痛苦  ,为什么要选我受折磨？悲伤痛苦  ,{},{},{},1,3,20,1581594528.983671,2019-10-09
4411622871418619,6105881353,爽朗的微微笑527,谁会骗人得了白血病，这个病很可怕，会要人命的，求求大家，帮帮这个家庭，帮帮这个孩子，我们都需要帮助,谁会骗人得了白血病，这个病很可怕，会要人命的，求求大家，帮帮这个家庭，帮帮这个孩子，我们都需要帮助,{},{},"{'id': '4411449998426555', 'content': '【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%81%8B%E5%93%91%E7%88%B8%E5%A6%88%E5%8D%96%E8%B4%A7%E6%95%91%E7%99%BD%E8%A1%80%E7%97%85%E5%AE%9D%E5%AE%9D%23&extparam=%23%E8%81%8B%E5%93%91%E7%88%B8%E5%A6%88%E5%8D%96%E8%B4%A7%E6%95%91%E7%99%BD%E8%A1%80%E7%97%85%E5%AE%9D%E5%AE%9D%23"" data-hide=""""><span class=""surl-text"">#聋哑爸妈卖货救白血病宝宝#</span></a> 路人怀疑行骗纷纷躲开<span class=""url-icon""><img alt=[悲伤] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;"" /></span>】今年3岁的小瑞被确诊为急性淋巴白血病B型，父母都是聋哑人没有收入来源。爸爸想靠卖小玩具挣医药费，他胸前挂了个牌子，写着“我们都是聋哑人，救救我得了白血病的孩子”。只要有人路过，爸爸就把牌子凑过去，希望多卖一点。令他难过的是，有不少路人以为他们是 “行骗”，纷纷绕行，最后一天只卖了25元。爸爸却因为无法说话，连解释的机会都没有。<a href=\'/n/沸点视频\'>@沸点视频</a> <a data-url=""http://t.cn/Ai8KZKlj"" href=""https://www.miaopai.com/show/MiqWPXPcVRMkx7poDIUJzCkjtqIehtifRxxTOw__.htm"" data-hide=""""><span class=\'url-icon\'><img style=\'width: 1rem;height: 1rem\' src=\'https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png\'></span><span class=""surl-text"">沸点视频的秒拍视频</span></a>', 'user': {'id': 1700648435, 'name': '成都商报'}}",8,3,85,1581594535.402034,2019-09-01
4411622137646988,6105881353,爽朗的微微笑527,可怜的女儿，如今没有头发，没有眉毛，没有睫毛，没有健康的皮肤，静静的躺在床上，也没有学上，本该是青春阳光，本该是欢歌笑语，本该离开家，离开父母，到大学校园蹦呀！跳呀！白血病，它害了你。妈妈的眼泪都流成河了，今年是妈妈的本命年，为什么要遭此大难，救救我和我的女儿吧！ ,可怜的女儿，如今没有头发，没有眉毛，没有睫毛，没有健康的皮肤，静静的躺在床上，也没有学上，本该是青春阳光，本该是欢歌笑语，本该离开家，离开父母，到大学校园蹦呀！跳呀！白血病，它害了你。妈妈的眼泪都流成河了，今年是妈妈的本命年，为什么要遭此大难，救救我和我的女儿吧！ ,{},{},{},6,53,247,1581594538.96642,2019-09-01
4411618588779621,6105881353,爽朗的微微笑527,今天是9日1日，你本该在湖北大学读书，享受与老师同学在一起快乐阳光的校园生活，可白血病阻断了你读书的道路，可怜的  ,今天是9日1日，你本该在湖北大学读书，享受与老师同学在一起快乐阳光的校园生活，可白血病阻断了你读书的道路，可怜的  ,{},{},{},0,9,42,1581594542.620518,2019-09-01
4411617980430977,6105881353,爽朗的微微笑527,分享我的故事  ,分享我的故事  ,{},{},{},0,0,4,1581594546.460627,2019-09-01
4406689811584216,6105881353,爽朗的微微笑527,吐了一个多星期，胆汁都吐出来，胃疼了四五天，绞绞的痛，四五天都只喝点米汤，今天有了好转，胃不疼了，也不吐了，病痛就是恶棍，太伤人，人活着太痛苦了，这么大的劫难，想活呀！挣扎挣扎，想重生一次。  ,吐了一个多星期，胆汁都吐出来，胃疼了四五天，绞绞的痛，四五天都只喝点米汤，今天有了好转，胃不疼了，也不吐了，病痛就是恶棍，太伤人，人活着太痛苦了，这么大的劫难，想活呀！挣扎挣扎，想重生一次。  ,{},{},{},0,7,33,1581594550.760861,2019-08-18
4406687513174259,6105881353,爽朗的微微笑527,人生真无常，谁会想这么大的灾难降临到我们这个贫穷的家庭，一场噩梦一样，希望奇迹的降临，给我一个良机，恢复我们正常的生活轨迹吧！  ,人生真无常，谁会想这么大的灾难降临到我们这个贫穷的家庭，一场噩梦一样，希望奇迹的降临，给我一个良机，恢复我们正常的生活轨迹吧！  ,{},{},{},0,3,24,1581594557.080525,2019-08-18
4405639201549162,6105881353,爽朗的微微笑527,坚持！加油！你行的  ,坚持！加油！你行的  ,{},{},{},0,1,19,1581594561.505303,2019-08-15
4405636072516755,6105881353,爽朗的微微笑527,好累呀！什么时候能转运呀！昨晚十二点给逝去的亲人烧了纸，希望他们保佑我的孩子早日康复！希望他们在那边有钱用。  ,好累呀！什么时候能转运呀！昨晚十二点给逝去的亲人烧了纸，希望他们保佑我的孩子早日康复！希望他们在那边有钱用。  ,{},{},{},2,14,37,1581594567.741038,2019-08-15
4404011782193452,6105881353,爽朗的微微笑527,昨天孩子早饭、中饭全吐了，可怜，药打的  ,昨天孩子早饭、中饭全吐了，可怜，药打的  ,{},{},{},0,4,8,1581594574.040102,2019-08-11
4388149520238500,6105881353,爽朗的微微笑527,下个星期就可回家休整，第一阶段终于快熬到头了，人生不易，生病更不易。  ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9F%8E%E5%B8%82%E5%A4%9C%E6%8B%8D%E6%91%84%E5%BD%B1%E5%A4%A7%E8%B5%9B%23"" data-hide=""""><span class=""surl-text"">#城市夜拍摄影大赛#</span></a>下个星期就可回家休整，第一阶段终于快熬到头了，人生不易，生病更不易。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},"[{'pid': '006FdEFjly1g4gt2vbcyrj30lo0loac3', 'url': 'https://wx1.sinaimg.cn/orj360/006FdEFjly1g4gt2vbcyrj30lo0loac3.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 360, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx1.sinaimg.cn/large/006FdEFjly1g4gt2vbcyrj30lo0loac3.jpg', 'geo': {'width': '780', 'height': '780', 'croped': False}}}]",{},0,0,15,1581594579.379829,2019-06-28
4386573438850713,6105881353,爽朗的微微笑527,又是一天，有一种痛苦叫睡不着，因为思虑太多，被现实打倒，恐惧害怕常常笼罩着我，为什么让我有这种灾难，都一个月了，就像一场梦一样，我不能接受。  ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9F%8E%E5%B8%82%E5%A4%9C%E6%8B%8D%E6%91%84%E5%BD%B1%E5%A4%A7%E8%B5%9B%23"" data-hide=""""><span class=""surl-text"">#城市夜拍摄影大赛#</span></a>又是一天，有一种痛苦叫睡不着，因为思虑太多，被现实打倒，恐惧害怕常常笼罩着我，为什么让我有这种灾难，都一个月了，就像一场梦一样，我不能接受。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},"[{'pid': '006FdEFjly1g4brzatsq1j30lo0lo75f', 'url': 'https://wx2.sinaimg.cn/orj360/006FdEFjly1g4brzatsq1j30lo0lo75f.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 360, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx2.sinaimg.cn/large/006FdEFjly1g4brzatsq1j30lo0lo75f.jpg', 'geo': {'width': '780', 'height': '780', 'croped': False}}}]",{},1,0,8,1581594583.62375,2019-06-24
